Hafta,Tarih Aralığı,Türk Dili ve Edebiyatı,Matematik,Fizik,Kimya,Biyoloji,Tarih,Coğrafya
1-2,8-19 Eylül,Giriş: Edebiyatın Tarih ve Dinle İlişkisi,"Sayma ve Olasılık: Sıralama ve Seçme (Permütasyon, Kombinasyon)","Elektrik ve Manyetizma: Elektrik Akımı, Potansiyel Fark, Direnç",Kimyanın Temel Kanunları ve Kimyasal Hesaplamalar,Hücre Bölünmeleri: Mitoz,Yerleşme ve Devletleşme Sürecinde Selçuklu Türkiyesi,Kayaçlar ve Yer Şekilleri
3-4,22 Eylül - 3 Ekim,Hikâye (Dede Korkut Hikâyeleri),Binom Açılımı,Ohm Yasası ve Elektrik Devreleri,"Asitler, Bazlar ve Tuzlar: Genel Özellikler",Eşeysiz Üreme,Beylikten Devlete Osmanlı Siyaseti (1302-1453),Levha Hareketleri ve Sonuçları
5-6,6-17 Ekim,"Şiir (Halk Şiiri, Koşma, Semai)",Basit Olayların Olasılıkları,Lambaların Parlaklığı ve Elektriksel Enerji,Asit-Baz Tepkimeleri ve pH Kavramı,Mayoz ve Eşeyli Üreme,Dünya Gücü Osmanlı (1453-1595),Türkiye'nin Jeolojik Geçmişi
7-8,20-31 Ekim,Destan/Efsane (İslamiyet Etkisindeki Türk Destanları),Fonksiyonlar: Fonksiyon Kavramı ve Gösterimi,Mıknatıslar ve Manyetik Alan,Tuzlar ve Hayatımızdaki Yeri,Kalıtımın Temel İlkeleri: Mendel Genetiği,Sultan ve Osmanlı Merkez Teşkilatı,Türkiye'de İç ve Dış Kuvvetler
9,3-7 Kasım,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası
10,10-14 Kasım,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil
11-12,17-28 Kasım,Roman (Tanzimat Dönemi Romanı),İki Fonksiyonun Bileşkesi ve Bir Fonksiyonun Tersi,Akım ve Manyetik Alan İlişkisi,Karışımlar: Çözeltiler ve Derişim Birimleri,Monohibrit ve Dihibrit Çaprazlamalar,Klasik Çağda Osmanlı Toplum Düzeni,"Türkiye'de Su, Toprak ve Bitki Varlığı"
13-14,1-12 Aralık,Tiyatro (Tanzimat Dönemi Tiyatrosu),Polinomlar: Polinom Kavramı ve İşlemler,Basınç: Katı ve Sıvı Basıncı,Koligatif Özellikler,Kan Grupları ve Cinsiyete Bağlı Kalıtım,Arayış Yılları (17. Yüzyıl),Türkiye'de İklim ve Bitki Örtüsü
15-16,15-26 Aralık,Anı/Gezi Yazısı,Polinomların Çarpanlara Ayrılması,Gaz Basıncı ve Akışkanlar Basıncı,Ayırma ve Saflaştırma Teknikleri,Kalıtsal Hastalıklar ve Soy Ağaçları,18. Yüzyılda Değişim ve Diplomasi,Nüfusun Dağılışı ve Nüfus Politikaları
17-18,29 Aralık - 9 Ocak,Haber Metni/Mektup,İkinci Dereceden Denklemler: Kök Bulma,Kaldırma Kuvveti,Gıda Katkı Maddeleri ve Kozmetikler,Ekosistem Ekolojisi: Kavramlar,En Uzun Yüzyıl (1800-1922),Göçler ve Sonuçları
19,12-16 Ocak,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası
-,19-30 Ocak,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili
20-21,2-13 Şubat,"Şiir (Divan Şiiri, Gazel, Kaside)",İkinci Dereceden Denklemlerin Kök-Katsayı İlişkisi,Dalgalar: Dalga Hareketi ve Temel Kavramlar,Endüstride ve Canlılarda Enerji,Madde Döngüleri,Milli Mücadele'nin Hazırlık Dönemi,Yerleşme Tipleri ve Özellikleri
22-23,16-27 Şubat,Mesnevi,Dörtgenler ve Çokgenler: Genel Özellikler,Yay ve Su Dalgaları,Fosil Yakıtlar ve Alternatif Enerji Kaynakları,Güncel Çevre Sorunları,Kurtuluş Savaşı'nda Cepheler,Ekonomik Faaliyetler ve Doğal Kaynaklar
24-25,2-13 Mart,Eleştiri/Sohbet,"Özel Dörtgenler (Paralelkenar, Eşkenar Dörtgen)",Ses ve Deprem Dalgaları,Sürdürülebilir Kalkınma,Biyoçeşitlilik ve Korunması,Türk İnkılabı,Türkiye'de Tarım ve Hayvancılık
26,16-20 Mart,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil
27-28,23 Mart - 3 Nisan,Roman (Servet-i Fünun Dönemi),Yamuk ve Deltoid,Optik: Aydınlanma ve Gölge,Dönem Tekrarı,Dönem Tekrarı,Atatürkçülük ve Türk İnkılabı,Türkiye'de Madenler ve Enerji Kaynakları
29-30,6-17 Nisan,Şiir (Servet-i Fünun ve Fecr-i Ati),"Uzay Geometri: Katı Cisimler (Prizma, Piramit)",Düzlem Ayna ve Yansıma,Dönem Tekrarı,Dönem Tekrarı,İki Savaş Arası Dönemde Türkiye ve Dünya,Türkiye'de Sanayi ve Ulaşım
31-32,20 Nisan - 1 Mayıs,Tiyatro (Milli Edebiyat Dönemi),"Küre, Koni ve Silindir",Küresel Aynalar,Dönem Tekrarı,Dönem Tekrarı,II. Dünya Savaşı,Türkiye'de Ticaret ve Turizm
33-34,4-15 Mayıs,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası
35-40,18 Mayıs - 26 Haziran,Yıl Sonu Tekrarı ve Proje Sunumları,Yıl Sonu Tekrarı ve Proje Sunumları,Yıl Sonu Tekrarı ve Proje Sunumları,Yıl Sonu Tekrarı ve Proje Sunumları,Yıl Sonu Tekrarı ve Proje Sunumları,Yıl Sonu Tekrarı ve Proje Sunumları,Yıl Sonu Tekrarı ve Proje Sunumları
